id,x(m),y(m),area_code
P1,92293.272,100523.388,1
P2,92295.090,100522.548,1
P3,92295.585,100519.615,1
P4,92293.171,100524.953,1
P5,92288.421,100525.148,2
P6,92295.323,100520.233,4
P7,92301.103,100513.734,4
P8,92301.248,100510.642,1
P9,92302.958,100509.096,1
P10,92299.176,100513.130,6
P11,92306.229,100508.504,2
P12,92301.608,100508.143,6
P13,92305.502,100513.820,1
P14,92301.245,100517.088,3
P15,92307.502,100511.172,2
P16,92313.582,100505.027,3
P17,92309.436,100508.502,3
P18,92305.365,100506.967,4
P19,92301.625,100497.891,5
P20,92302.052,100494.923,7
P21,92303.731,100493.288,2
P22,92303.080,100490.014,6
P23,92304.860,100488.729,3
P24,92305.841,100489.228,5
P25,92307.230,100489.456,5
P26,92309.147,100480.443,2
P27,92304.580,100482.964,7
P28,92306.318,100482.603,2
P29,92307.922,100482.548,2
P30,92314.615,100485.729,7
P31,92310.122,100488.462,1
P32,92310.887,100485.694,5
P33,92306.454,100484.821,3
P34,92312.590,100488.747,2
P35,92311.979,100479.278,6
P36,92307.167,100480.086,2
P37,92303.155,100478.463,3
P38,92309.976,100473.404,6
P39,92307.860,100470.317,1
P40,92303.800,100468.764,2
P41,92305.619,100467.798,2
P42,92306.026,100464.820,1
P43,92308.289,100471.053,2
P44,92304.880,100475.538,2
P45,92302.842,100472.424,3
P46,92306.611,100464.260,5
P47,92311.621,100469.249,4
P48,92316.442,100461.829,3
P49,92315.034,100458.570,3
P50,92316.610,100458.562,1
P51,92314.636,100455.429,1
P52,92314.404,100452.223,2
P53,92315.480,100452.681,3
P54,92314.684,100449.396,6
P55,92313.506,100446.115,5
P56,92309.568,100444.389,3
P57,92310.462,100444.916,3
P58,92309.250,100450.877,6
P59,92311.056,100449.755,7
P60,92312.209,100447.313,7
P61,92313.797,100447.285,2
P62,92310.710,100438.039,2
P63,92313.985,100443.984,3
P64,92315.496,100444.070,3
P65,92316.567,100441.549,7
P66,92318.270,100439.979,5
P67,92313.557,100439.981,2
P68,92313.603,100446.271,1
P69,92317.907,100451.729,3
P70,92314.922,100449.085,5
P71,92316.736,100455.393,1
P72,92318.548,100461.701,3
P73,92319.860,100462.001,3
P74,92321.368,100452.864,6
P75,92322.437,100453.324,4
P76,92318.460,100457.079,6
P77,92317.160,100447.607,2
P78,92320.313,100453.595,1
P79,92316.719,100451.466,2
P80,92324.475,100448.882,2
P81,92326.228,100448.476,1
P82,92333.282,100443.853,3
P83,92331.270,100440.731,1
P84,92336.417,100433.593,2
P85,92342.079,100438.025,2
P86,92339.481,100443.233,3
P87,92344.668,100448.084,3
P88,92341.912,100445.295,4
P89,92349.829,100444.250,3
P90,92354.740,100449.313,1
P91,92361.907,100444.927,3
P92,92363.431,100442.971,2
P93,92369.980,100446.366,3
P94,92365.261,100446.394,1
P95,92370.177,100451.453,3
P96,92365.788,100450.485,2
P97,92362.851,100455.425,3
P98,92367.659,100447.994,2
P99,92368.207,100438.644,3
P100,92364.315,100442.525,1
P101,92360.597,100433.443,3
P102,92359.928,100439.582,3
P103,92355.540,100430.724,3
P104,92356.181,100437.075,3
P105,92356.342,100433.990,3
P106,92363.912,100430.666,3
P107,92366.296,100421.820,3
P108,92361.529,100423.475,3
P109,92361.106,100420.231,5
P110,92356.957,100423.702,3
P111,92356.162,100414.227,7
P112,92353.389,100419.301,5
P113,92360.845,100415.627,2
P114,92367.887,100418.214,1
P115,92369.584,100417.967,6
P116,92370.641,100424.327,6
P117,92372.455,100423.279,6
P118,92372.608,100420.191,2
P119,92372.958,100417.185,1
P120,92377.074,100422.749,2
P121,92378.255,100423.146,3
P122,92385.173,100418.261,2
P123,92381.672,100422.643,1
P124,92376.741,100414.008,2
P125,92379.202,100420.198,2
P126,92376.973,100417.154,6
P127,92376.804,100413.964,6
P128,92378.169,100411.768,6
P129,92379.460,100412.085,6
P130,92376.208,100416.732,6
P131,92380.858,100421.977,2
P132,92381.529,100419.146,6
P133,92383.227,100417.564,3
P134,92380.081,100415.037,2
P135,92375.826,100413.802,2
P136,92374.411,100410.545,2
P137,92375.384,100411.047,6
P138,92373.884,100416.889,3
P139,92375.596,100415.348,3
P140,92375.678,100412.234,3
P141,92377.854,100403.310,2
P142,92378.015,100400.224,1
P143,92379.783,100399.755,3
P144,92378.172,100396.530,1
P145,92376.101,100393.428,1
P146,92379.172,100399.445,1
P147,92380.068,100396.773,1
P148,92376.035,100395.180,2
P149,92382.327,100398.916,3
P150,92382.057,100405.150,2
P151,92377.248,100405.901,2
P152,92377.256,100396.477,2
P153,92378.807,100394.568,2
P154,92382.616,100400.286,3
P155,92386.322,100392.085,6
P156,92382.879,100396.532,3
P157,92387.889,100401.522,1
P158,92388.331,100398.562,2
P159,92389.149,100404.921,2
P160,92390.498,100402.704,2
P161,92390.394,100399.531,2
P162,92393.410,100405.566,2
P163,92388.966,100408.424,6
P164,92390.267,100408.734,6
P165,92386.966,100406.331,3
P166,92382.451,100405.660,3
P167,92377.684,100405.965,2
P168,92379.500,100405.183,7
P169,92387.319,100405.427,2
P170,92382.515,100406.724,2
P171,92385.777,100412.673,2
P172,92385.369,100409.432,2
P173,92388.010,100415.577,2
P174,92389.692,100413.953,2
P175,92387.070,100411.089,6
P176,92393.557,100414.569,3
P177,92394.764,100412.184,2
P178,92400.952,100406.176,3
P179,92406.383,100399.308,3
P180,92402.087,100402.499,3
P181,92403.229,100402.920,6
P182,92398.726,100394.107,2
P183,92400.435,100393.831,2
P184,92398.419,100399.415,6
P185,92403.099,100404.640,6
P186,92398.747,100407.713,2
P187,92403.350,100412.988,3
P188,92410.894,100414.378,6
P189,92413.490,100420.536,3
P190,92411.622,100417.371,3
P191,92410.910,100414.092,3
P192,92417.711,100408.999,3
P193,92413.815,100407.219,1
P194,92415.617,100398.169,5
P195,92416.891,100395.859,1
P196,92417.890,100393.273,1
P197,92422.271,100398.686,3
P198,92428.006,100403.046,3
P199,92434.306,100397.187,1
P200,92434.130,100393.995,2
P201,92436.994,100385.353,3
P202,92432.278,100385.369,3
P203,92432.750,100382.424,2
P204,92434.616,100373.394,2
P205,92436.109,100379.735,2
P206,92431.295,100380.798,3
P207,92433.091,100380.195,3
P208,92440.876,100380.635,4
P209,92440.424,100377.387,4
P210,92446.927,100380.845,3
P211,92447.925,100381.337,3
P212,92445.542,100378.357,2
P213,92453.222,100379.278,3
P214,92454.476,100379.625,6
P215,92456.285,100378.924,2
P216,92452.847,100383.377,1
P217,92449.897,100380.710,1
P218,92445.083,100381.656,3
P219,92450.681,100386.148,3
P220,92446.503,100384.781,3
P221,92445.875,100375.311,3
P222,92442.803,100380.131,2
P223,92444.615,100379.069,6
P224,92444.016,100385.226,6
P225,92445.823,100384.544,7
P226,92443.625,100381.487,3
P227,92442.188,100378.233,3
P228,92443.296,100384.593,3
P229,92449.894,100379.167,3
P230,92451.104,100379.545,2
P231,92448.586,100384.812,4
P232,92443.935,100384.557,7
P233,92451.284,100386.485,6
P234,92448.446,100383.745,2
P235,92452.153,100389.510,3
P236,92453.325,100387.088,7
P237,92449.020,100378.199,4
P238,92449.902,100375.517,1
P239,92451.537,100373.778,3
P240,92459.354,100371.527,1
P241,92461.757,100362.689,1
P242,92466.511,100367.863,1
P243,92473.751,100363.640,7
P244,92474.677,100360.992,4
P245,92475.546,100361.526,1
P246,92483.288,100358.875,6
P247,92484.540,100356.539,1
P248,92482.298,100361.989,1
P249,92477.512,100363.498,3
P250,92478.459,100364.009,3
P251,92479.889,100364.193,3
P252,92478.027,100369.861,2
P253,92476.212,100360.419,3
P254,92477.648,100358.322,6
P255,92473.123,100357.675,2
P256,92480.593,100354.042,7
P257,92485.096,100359.381,5
P258,92486.436,100350.198,7
P259,92486.211,100346.994,3
P260,92493.906,100347.851,3
P261,92496.852,100353.909,2
P262,92498.979,100360.168,2
P263,92500.727,100358.742,6
P264,92495.447,100350.270,1
P265,92493.355,100347.175,1
P266,92488.611,100348.980,2
P267,92487.914,100355.110,7
P268,92486.192,100351.909,6
P269,92487.147,100352.417,2
P270,92484.482,100349.577,2
P271,92485.750,100347.261,7
P272,92481.363,100346.285,7
P273,92476.131,100337.790,7
P274,92477.479,100344.141,5
P275,92480.777,100350.077,2
P276,92482.234,100348.011,3
P277,92487.744,100352.585,1
P278,92488.218,100349.641,3
P279,92496.029,100347.356,2
